onset	duration	cue_type	current_mean_accuracy	duration_error	is_hit	isi_adjusted	onset_delay	response	response_type	reward	rt	rt_time	total_reward	trial_number	trial_phase	trial_type	one_press
11.102	0.25	Control	1.0	0.0	Yes	2.948	0.002	n/a	GoodResponse	0	n/a	n/a	0	0	Cue	Neutral	True
11.353	3.85	Control	1.0	0.0	Yes	2.948	0.001	n/a	GoodResponse	0	n/a	n/a	0	0	Fixation	Neutral	True
15.198	0.4	Control	1.0	0.004	Yes	2.948	-0.004	1.0	GoodResponse	0	0.198	14.396	0	0	Target	Neutral	True
15.396	0.3	Control	1.0	0.004	Yes	2.948	-0.004	1.0	GoodResponse	0	0.198	n/a	0	0	ButtonPress	Neutral	True
15.599	0.3	Control	1.0	n/a	Yes	2.948	n/a	n/a	GoodResponse	0	n/a	n/a	0	0	Blank	Neutral	True
15.9	1.45	Control	1.0	n/a	Yes	2.948	n/a	5.0	GoodResponse	0	0.029	14.929	0	0	Feedback	Neutral	True
17.354	2.948	Control	1.0	n/a	Yes	2.948	n/a	n/a	GoodResponse	0	0.0	n/a	0	0	ISIslide	Neutral	True
20.33	0.25	Lose2	1.0	0.0	Yes	2.77	0.03	n/a	GoodResponse	0	n/a	n/a	0	1	Cue	AvoidedLoss	True
20.58	4.0	Lose2	1.0	0.0	Yes	2.77	0.0	n/a	GoodResponse	0	n/a	n/a	0	1	Fixation	AvoidedLoss	True
24.576	0.39	Lose2	1.0	0.004	Yes	2.77	-0.004	1.0	GoodResponse	0	0.196	23.772	0	1	Target	AvoidedLoss	True
24.772	0.3	Lose2	1.0	0.004	Yes	2.77	-0.004	1.0	GoodResponse	0	0.196	n/a	0	1	ButtonPress	AvoidedLoss	True
24.977	0.31	Lose2	1.0	n/a	Yes	2.77	n/a	n/a	GoodResponse	0	n/a	n/a	0	1	Blank	AvoidedLoss	True
25.278	1.45	Lose2	1.0	n/a	Yes	2.77	n/a	5.0	GoodResponse	0	0.016	24.294	0	1	Feedback	AvoidedLoss	True
26.732	2.77	Lose2	1.0	n/a	Yes	2.77	n/a	n/a	GoodResponse	0	0.0	n/a	0	1	ISIslide	AvoidedLoss	True
29.524	0.25	Control	1.0	0.0	Yes	2.576	0.024	n/a	GoodResponse	0	n/a	n/a	0	2	Cue	Neutral	True
29.774	4.1	Control	1.0	0.001	Yes	2.576	0.0	n/a	GoodResponse	0	n/a	n/a	0	2	Fixation	Neutral	True
33.87	0.38	Control	1.0	0.004	Yes	2.576	-0.004	1.0	GoodResponse	0	0.188	33.058	0	2	Target	Neutral	True
34.058	0.3	Control	1.0	0.004	Yes	2.576	-0.004	1.0	GoodResponse	0	0.188	n/a	0	2	ButtonPress	Neutral	True
34.255	0.32	Control	1.0	n/a	Yes	2.576	n/a	n/a	GoodResponse	0	n/a	n/a	0	2	Blank	Neutral	True
34.572	1.45	Control	1.0	n/a	Yes	2.576	n/a	5.0	GoodResponse	0	0.039	33.611	0	2	Feedback	Neutral	True
36.026	2.576	Control	1.0	n/a	Yes	2.576	n/a	n/a	GoodResponse	0	0.0	n/a	0	2	ISIslide	Neutral	True
38.684	0.25	Win2	1.0	0.001	Yes	2.766	0.084	n/a	GoodResponse	1	n/a	n/a	1	3	Cue	Win	True
38.935	3.95	Win2	1.0	0.0	Yes	2.766	0.001	n/a	GoodResponse	1	n/a	n/a	1	3	Fixation	Win	True
42.88	0.37	Win2	1.0	0.004	Yes	2.766	-0.004	1.0	GoodResponse	1	0.202	42.082	1	3	Target	Win	True
43.082	0.3	Win2	1.0	0.004	Yes	2.766	-0.004	1.0	GoodResponse	1	0.202	n/a	1	3	ButtonPress	Win	True
43.265	0.33	Win2	1.0	n/a	Yes	2.766	n/a	n/a	GoodResponse	1	n/a	n/a	1	3	Blank	Win	True
43.582	1.45	Win2	1.0	n/a	Yes	2.766	n/a	5.0	GoodResponse	1	0.005	42.587	1	3	Feedback	Win	True
45.037	2.766	Win2	1.0	n/a	Yes	2.766	n/a	n/a	GoodResponse	1	0.0	n/a	1	3	ISIslide	Win	True
47.828	0.25	Win2	1.0	0.001	Yes	3.272	0.028	n/a	GoodResponse	1	n/a	n/a	2	4	Cue	Win	True
48.079	4.0	Win2	1.0	0.0	Yes	3.272	0.001	n/a	GoodResponse	1	n/a	n/a	2	4	Fixation	Win	True
52.074	0.36	Win2	1.0	0.004	Yes	3.272	-0.004	1.0	GoodResponse	1	0.217	51.291	2	4	Target	Win	True
52.291	0.3	Win2	1.0	0.004	Yes	3.272	-0.004	1.0	GoodResponse	1	0.217	n/a	2	4	ButtonPress	Win	True
52.442	0.34	Win2	1.0	n/a	Yes	3.272	n/a	n/a	GoodResponse	1	n/a	n/a	2	4	Blank	Win	True
52.777	1.45	Win2	1.0	n/a	Yes	3.272	n/a	5.0	GoodResponse	1	0.03	51.807	2	4	Feedback	Win	True
54.231	3.272	Win2	1.0	n/a	Yes	3.272	n/a	n/a	GoodResponse	1	0.0	n/a	2	4	ISIslide	Win	True
57.524	0.25	Win2	1.0	0.0	Yes	2.776	0.024	n/a	GoodResponse	1	n/a	n/a	3	5	Cue	Win	True
57.775	4.0	Win2	1.0	0.0	Yes	2.776	0.001	n/a	GoodResponse	1	n/a	n/a	3	5	Fixation	Win	True
61.77	0.35	Win2	1.0	0.004	Yes	2.776	-0.004	1.0	GoodResponse	1	0.181	60.951	3	5	Target	Win	True
