onset	duration	cue_type	current_mean_accuracy	duration_error	is_hit	isi_adjusted	onset_delay	response	response_type	reward	rt	rt_time	total_reward	trial_number	trial_phase	trial_type	one_press
11.101	0.25	Control	1.0	0.0	Yes	2.949	0.001	n/a	GoodResponse	0	n/a	n/a	0	0	Cue	Neutral	True
11.351	3.85	Control	1.0	0.0	Yes	2.949	0.0	n/a	GoodResponse	0	n/a	n/a	0	0	Fixation	Neutral	True
15.199	0.4	Control	1.0	0.002	Yes	2.949	-0.002	4.0	GoodResponse	0	0.22	14.419	0	0	Target	Neutral	True
15.419	0.3	Control	1.0	0.002	Yes	2.949	-0.002	4.0	GoodResponse	0	0.22	n/a	0	0	ButtonPress	Neutral	True
15.599	0.3	Control	1.0	n/a	Yes	2.949	n/a	n/a	GoodResponse	0	n/a	n/a	0	0	Blank	Neutral	True
15.899	1.45	Control	1.0	n/a	Yes	2.949	n/a	5.0	GoodResponse	0	0.03	14.929	0	0	Feedback	Neutral	True
17.348	2.949	Control	1.0	n/a	Yes	2.949	n/a	n/a	GoodResponse	0	0.0	n/a	0	0	ISIslide	Neutral	True
20.331	0.25	Lose2	1.0	0.0	Yes	2.769	0.031	n/a	GoodResponse	0	n/a	n/a	0	1	Cue	AvoidedLoss	False
20.581	4.0	Lose2	1.0	0.0	Yes	2.769	0.0	4.0	GoodResponse	0	0.291	19.872	0	1	Fixation	AvoidedLoss	False
20.872	0.3	Lose2	1.0	0.0	Yes	2.769	0.0	4.0	GoodResponse	0	0.291	n/a	0	1	ButtonPress	AvoidedLoss	False
24.579	0.39	Lose2	1.0	0.002	Yes	2.769	-0.002	4.0	GoodResponse	0	0.242	23.821	0	1	Target	AvoidedLoss	False
24.821	0.3	Lose2	1.0	0.002	Yes	2.769	-0.002	4.0	GoodResponse	0	0.242	n/a	0	1	ButtonPress	AvoidedLoss	False
24.979	0.31	Lose2	1.0	n/a	Yes	2.769	n/a	n/a	GoodResponse	0	n/a	n/a	0	1	Blank	AvoidedLoss	False
25.279	1.45	Lose2	1.0	n/a	Yes	2.769	n/a	5.0	GoodResponse	0	0.016	24.295	0	1	Feedback	AvoidedLoss	False
26.728	2.769	Lose2	1.0	n/a	Yes	2.769	n/a	n/a	GoodResponse	0	0.0	n/a	0	1	ISIslide	AvoidedLoss	False
29.527	0.25	Control	1.0	0.001	Yes	2.573	0.027	n/a	GoodResponse	0	n/a	n/a	0	2	Cue	Neutral	True
29.777	4.1	Control	1.0	0.0	Yes	2.573	0.0	n/a	GoodResponse	0	n/a	n/a	0	2	Fixation	Neutral	True
33.876	0.38	Control	1.0	0.001	Yes	2.573	-0.001	4.0	GoodResponse	0	0.244	33.12	0	2	Target	Neutral	True
34.12	0.3	Control	1.0	0.001	Yes	2.573	-0.001	4.0	GoodResponse	0	0.244	n/a	0	2	ButtonPress	Neutral	True
