onset	duration	cue_type	current_mean_accuracy	duration_error	is_hit	isi_adjusted	onset_delay	response	response_type	reward	rt	rt_time	total_reward	trial_number	trial_phase	trial_type	one_press
11.102	0.25	Control	1.0	0.0	Yes	2.948	0.002	n/a	GoodResponse	0	n/a	n/a	0	0	Cue	Neutral	True
11.353	3.85	Control	1.0	0.0	Yes	2.948	0.001	n/a	GoodResponse	0	n/a	n/a	0	0	Fixation	Neutral	True
15.198	0.4	Control	1.0	0.004	Yes	2.948	-0.004	2.0	GoodResponse	0	0.209	14.407	0	0	Target	Neutral	True
15.407	0.3	Control	1.0	0.004	Yes	2.948	-0.004	2.0	GoodResponse	0	0.209	n/a	0	0	ButtonPress	Neutral	True
15.599	0.3	Control	1.0	n/a	Yes	2.948	n/a	n/a	GoodResponse	0	n/a	n/a	0	0	Blank	Neutral	True
15.9	1.45	Control	1.0	n/a	Yes	2.948	n/a	5	GoodResponse	0	0.025	14.925	0	0	Feedback	Neutral	True
17.354	2.948	Control	1.0	n/a	Yes	2.948	n/a	n/a	GoodResponse	0	0.0	n/a	0	0	ISIslide	Neutral	True
20.33	0.25	Lose2	1.0	0.0	Yes	2.77	0.03	n/a	GoodResponse	0	n/a	n/a	0	1	Cue	AvoidedLoss	True
20.581	4.0	Lose2	1.0	0.0	Yes	2.77	0.001	n/a	GoodResponse	0	n/a	n/a	0	1	Fixation	AvoidedLoss	True
24.576	0.39	Lose2	1.0	0.004	Yes	2.77	-0.004	2.0	GoodResponse	0	0.191	23.767	0	1	Target	AvoidedLoss	True
24.767	0.3	Lose2	1.0	0.004	Yes	2.77	-0.004	2.0	GoodResponse	0	0.191	n/a	0	1	ButtonPress	AvoidedLoss	True
24.977	0.31	Lose2	1.0	n/a	Yes	2.77	n/a	n/a	GoodResponse	0	n/a	n/a	0	1	Blank	AvoidedLoss	True
25.278	1.45	Lose2	1.0	n/a	Yes	2.77	n/a	5	GoodResponse	0	0.013	24.291	0	1	Feedback	AvoidedLoss	True
26.732	2.77	Lose2	1.0	n/a	Yes	2.77	n/a	n/a	GoodResponse	0	0.0	n/a	0	1	ISIslide	AvoidedLoss	True
29.524	0.25	Control	1.0	0.0	Yes	2.576	0.024	n/a	GoodResponse	0	n/a	n/a	0	2	Cue	Neutral	True
29.775	4.1	Control	1.0	0.0	Yes	2.576	0.001	n/a	GoodResponse	0	n/a	n/a	0	2	Fixation	Neutral	True
33.87	0.38	Control	1.0	0.004	Yes	2.576	-0.004	2.0	GoodResponse	0	0.185	33.055	0	2	Target	Neutral	True
34.055	0.3	Control	1.0	0.004	Yes	2.576	-0.004	2.0	GoodResponse	0	0.185	n/a	0	2	ButtonPress	Neutral	True
34.255	0.32	Control	1.0	n/a	Yes	2.576	n/a	n/a	GoodResponse	0	n/a	n/a	0	2	Blank	Neutral	True
34.572	1.45	Control	1.0	n/a	Yes	2.576	n/a	5	GoodResponse	0	0.037	33.609	0	2	Feedback	Neutral	True
36.027	2.576	Control	1.0	n/a	Yes	2.576	n/a	n/a	GoodResponse	0	0.0	n/a	0	2	ISIslide	Neutral	True
38.618	0.25	Win2	0.75	0.0	No	2.832	0.018	n/a	NoResponse	0	n/a	n/a	0	3	Cue	MissedWin	True
38.869	3.95	Win2	0.75	0.0	No	2.832	0.001	2.0	NoResponse	0	3.905	41.774	0	3	Fixation	MissedWin	True
42.774	0.3	Win2	0.75	0.0	No	2.832	0.001	2.0	NoResponse	0	3.905	n/a	0	3	ButtonPress	MissedWin	True
42.814	0.37	Win2	0.75	0.004	No	2.832	-0.004	n/a	NoResponse	0	n/a	n/a	0	3	Target	MissedWin	True
43.198	0.33	Win2	0.75	n/a	No	2.832	n/a	n/a	NoResponse	0	n/a	n/a	0	3	Blank	MissedWin	True
43.516	1.45	Win2	0.75	n/a	No	2.832	n/a	5	NoResponse	0	0.019	42.535	0	3	Feedback	MissedWin	True
44.97	2.832	Win2	0.75	n/a	No	2.832	n/a	n/a	NoResponse	0	0.0	n/a	0	3	ISIslide	MissedWin	True
47.829	0.25	Win2	0.8	0.0	Yes	3.271	0.029	n/a	GoodResponse	1	n/a	n/a	1	4	Cue	Win	True
48.08	4.0	Win2	0.8	0.0	Yes	3.271	0.001	n/a	GoodResponse	1	n/a	n/a	1	4	Fixation	Win	True
52.075	0.36	Win2	0.8	0.004	Yes	3.271	-0.004	2.0	GoodResponse	1	0.236	51.311	1	4	Target	Win	True
52.311	0.3	Win2	0.8	0.004	Yes	3.271	-0.004	2.0	GoodResponse	1	0.236	n/a	1	4	ButtonPress	Win	True
52.443	0.34	Win2	0.8	n/a	Yes	3.271	n/a	n/a	GoodResponse	1	n/a	n/a	1	4	Blank	Win	True
52.777	1.45	Win2	0.8	n/a	Yes	3.271	n/a	5	GoodResponse	1	0.027	51.804	1	4	Feedback	Win	True
54.231	3.271	Win2	0.8	n/a	Yes	3.271	n/a	n/a	GoodResponse	1	0.0	n/a	1	4	ISIslide	Win	True
57.525	0.25	Win2	0.8332999999999999	0.0	Yes	2.775	0.025	n/a	GoodResponse	1	n/a	n/a	2	5	Cue	Win	True
57.775	4.0	Win2	0.8332999999999999	0.0	Yes	2.775	0.0	n/a	GoodResponse	1	n/a	n/a	2	5	Fixation	Win	True
61.771	0.35	Win2	0.8332999999999999	0.004	Yes	2.775	-0.004	2.0	GoodResponse	1	0.213	60.984	2	5	Target	Win	True
